Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Descripcio_tipus_vehicle,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
2024S000477,3,Sants-Montjuïc,11,el Poble Sec,198804,Paral·lel,39,Dissabte,2024,1,Gener,27,15,Tarda,,Motocicleta,CRUISYM 125,SYM,negre,,,430879.481,4580880.608,2.17231039,41.37462918
2024S000477,3,Sants-Montjuïc,11,el Poble Sec,198804,Paral·lel,39,Dissabte,2024,1,Gener,27,15,Tarda,,Motocicleta,CRUISYM 125,SYM,negre,B,23,430879.481,4580880.608,2.17231039,41.37462918
2024S000478,10,Sant Martí,70,el Besòs i el Maresme,701414,C-31,K2087,Dissabte,2024,1,Gener,27,13,Matí,,Motocicleta,HD 300,SYM,blanc,,,434220.181,4586088.061,2.21168973,41.42181169
2024S000478,10,Sant Martí,70,el Besòs i el Maresme,701414,C-31,K2087,Dissabte,2024,1,Gener,27,13,Matí,,Motocicleta,HD 300,SYM,blanc,A2,1,434220.181,4586088.061,2.21168973,41.42181169
2024S000478,10,Sant Martí,70,el Besòs i el Maresme,701414,C-31,K2087,Dissabte,2024,1,Gener,27,13,Matí,,Turisme,MEGANE,RENAULT,blanc,B,7,434220.181,4586088.061,2.21168973,41.42181169
2024S000479,3,Sants-Montjuïc,17,Sants - Badal,312400,Sants,,Dissabte,2024,1,Gener,27,19,Tarda,,Veh. mobilitat personal amb motor,NO DISPONIBLE,XIAOMI,desconegut,,,426942.412,4581028.408,2.12521695,41.37561239
2024S000480,10,Sant Martí,67,la Vila Olímpica del Poblenou,197302,Marina,16,Dissabte,2024,1,Gener,27,15,Tarda,,Veh. mobilitat personal amb motor,M-365,XIAOMI,blanc,,,432987.530,4582269.631,2.19736300,41.38731819
2024S000481,3,Sants-Montjuïc,16,la Bordeta,169409,Corts Catalanes,187-193,Diumenge,2024,1,Gener,28,5,Nit,,Motocicleta,CROMWELL 125 ABS,BRIXTON,negre,B,5,428173.369,4580228.731,2.14003052,41.36852084
2024S000482,7,Horta-Guinardó,38,la Teixonera,168803,Jordà,,Dissabte,2024,1,Gener,27,20,Tarda,,Motocicleta,NSC110MPD,HONDA,,A2,2,428427.450,4586473.164,2.14232979,41.42478473
2024S000482,7,Horta-Guinardó,38,la Teixonera,168803,Jordà,,Dissabte,2024,1,Gener,27,20,Tarda,,Turisme,SANDERO,DACIA,desconegut,B,3,428427.450,4586473.164,2.14232979,41.42478473
2024S000483,2,Eixample,7,la Dreta de l'Eixample,350308,València,241,Dissabte,2024,1,Gener,27,20,Tarda,,Bicicleta,,PEUGEOT,,,,430081.410,4582845.197,2.16254093,41.39225464
2024S000483,2,Eixample,7,la Dreta de l'Eixample,350308,València,241,Dissabte,2024,1,Gener,27,20,Tarda,,Turisme,Q2,AUDI,blanc,B,34,430081.410,4582845.197,2.16254093,41.39225464
2024S000484,9,Sant Andreu,62,el Congrés i els Indians,121402,Felip II,,Diumenge,2024,1,Gener,28,12,Matí,,Turisme,NIRO,KIA,blanc,B,39,431770.267,4586342.380,2.18234576,41.42389782
